iso,region,abbreviation
AF,Badakhshan,BDS
AF,Badghis,BDG
AF,Baghlan,BGL
AF,Balkh,BAL
AF,Bamian,BAM
AF,Farah,FRA
AF,Faryab,FYB
AF,Ghazni,GHA
AF,Ghowr,GHO
AF,Helmand,HEL
AF,Herat,HER
AF,Jowzjan,JOW
AF,Kabol,KAB
AF,Kandahar,KAN
AF,Kapisa,KAP
AF,Konar,KNR
AF,Kondoz,KDZ
AF,Laghman,LAG
AF,Lowgar,LOW
AF,Nangarhar,NAN
AF,Nimruz,NIM
AF,Oruzgan,ORU
AF,Paktia,PIA
AF,Paktika,PKA
AF,Parvan,PAR
AF,Samangan,SAM
AF,Sar-e Pol,SAR
AF,Takhar,TAK
AF,Vardak,WAR
AF,Zabol,ZAB
AL,Berat
AL,Bulqize
AL,Delvine
AL,Devoll (Bilisht)
AL,Diber (Peshkopi)
AL,Durres
AL,Elbasan
AL,Fier
AL,Gjirokaster
AL,Gramsh
AL,Has (Krume)
AL,Kavaje
AL,Kolonje (Erseke)
AL,Korce
AL,Kruje
AL,Kucove
AL,Kukes
AL,Kurbin
AL,Lezhe
AL,Librazhd
AL,Lushnje
AL,Malesi e Madhe (Koplik)
AL,Mallakaster (Ballsh)
AL,Mat (Burrel)
AL,Mirdite (Rreshen)
AL,Peqin
AL,Permet
AL,Pogradec
AL,Puke
AL,Sarande
AL,Shkoder
AL,Skrapar (Corovode)
AL,Tepelene
AL,Tirane (Tirana)
AL,Tirane (Tirana)
AL,Tropoje (Bajram Curri)
AL,Vlore
DZ,Adrar
DZ,Ain Defla
DZ,Ain Temouchent
DZ,Alger
DZ,Annaba
DZ,Batna
DZ,Bechar
DZ,Bejaia
DZ,Biskra
DZ,Blida
DZ,Bordj Bou Arreridj
DZ,Bouira
DZ,Boumerdes
DZ,Chlef
DZ,Constantine
DZ,Djelfa
DZ,El Bayadh
DZ,El Oued
DZ,El Tarf
DZ,Ghardaia
DZ,Guelma
DZ,Illizi
DZ,Jijel
DZ,Khenchela
DZ,Laghouat
DZ,MSila
DZ,Mascara
DZ,Medea
DZ,Mila
DZ,Mostaganem
DZ,Naama
DZ,Oran
DZ,Ouargla
DZ,Oum el Bouaghi
DZ,Relizane
DZ,Saida
DZ,Setif
DZ,Sidi Bel Abbes
DZ,Skikda
DZ,Souk Ahras
DZ,Tamanghasset
DZ,Tebessa
DZ,Tiaret
DZ,Tindouf
DZ,Tipaza
DZ,Tissemsilt
DZ,Tizi Ouzou
DZ,Tlemcen
AS,Eastern
AS,Manua
AS,Rose Island
AS,Swains Island
AS,Western
AO,Andorra la Vella
AO,Bengo
AO,Benguela
AO,Bie
AO,Cabinda
AO,Canillo
AO,Cuando Cubango
AO,Cuanza Norte
AO,Cuanza Sul
AO,Cunene
AO,Encamp
AO,Escaldes-Engordany
AO,Huambo
AO,Huila
AO,La Massana
AO,Luanda
